URL,rating,recipe name,summary,tag,would make again
/recipes/food/views/coconut-custard-and-rhubarb-tart,2.5,Coconut Custard and Rhubarb Tart,"Dairy-free, flourless, kosher for Passover, and pretty in pink—this rhubarb-topped tart is just the thing for all of your spring celebrations.",recipe,70%
/holidays-events/refreshing-memorial-day-summer-desserts-gallery,,56 Memorial Day Desserts,"This Memorial Day, don't forget to have a sweet ending.",gallery,
/recipes-menus/what-to-cook-this-weekend-april-26-28-gallery,,What to Cook This Weekend: April 26–28,"Lean into spring with a rhubarb cocktail and recipes that feature asparagus and sugar snap peas, then take some time for a date night in with a decadent pork chop dinner and classic crème brûlée.",gallery,
/recipes-menus/pies-for-the-fourth-of-july-gallery,,57 Star-Spangled Desserts,"Show your American spirit with these red, white, and blue 4th of July sweets.",gallery,
/holidays-events/easter-dessert-recipes-gallery,,89 Easter Dessert Recipes,"From a classic carrot-coconut cake to rhubarb custard tart and ricotta pie with amarena cherries, these are some of our favorite Easter sweets.",gallery,
/recipes/food/views/strawberry-and-watercress-salad,0,Strawberry and Watercress Salad,We paired peppery watercress with bright rhubarb and sweet berries in this go-to spring salad.,recipe,0%
/recipes-menus/cake-recipes-ideas-for-mothers-day-brunch-dessert-gallery,,63 Cakes to Make for Mother's Day,"Chocolate layers, creamy carrot, rose-glazed rhubarb: You've hit the cake motherload.",gallery,
/recipes-menus/what-to-cook-fathers-day-weekend-2018-gallery,,What To Cook This Weekend: June 15–17,"This might shock you, but dads are into more than just steak and whiskey.",gallery,
/recipes-menus/what-to-cook-this-weekend-april-20-22-gallery,,What to Cook This Weekend: April 20–22,"Embrace the changing season with recipes highlighting last-of-winter citrus and first-of-spring asparagus, artichokes, and rhubarb.",gallery,
/expert-advice/5-new-cookbooks-to-cook-from-this-weekend-article,,5 Cookbooks to Cook From This Weekend,"It's almost summer, which means more outdoor cooking, more produce, and more dessert. Here are the buzziest new cookbooks to cook from this season.",article,
/expert-advice/how-to-freeze-strawberries-article,,How to Freeze Strawberries,Don't let the season pass without saving a little sweetness for later. Here's the best way to preserve the flavor of a perfect strawberry.,article,
/recipes/food/views/easy-rhubarb-compote,3,Rhubarb Compote,This compote would be quite fine on toast.,recipe,50%
/recipes/food/views/quick-pickled-rhubarb-salad,4,Quick-Pickled Rhubarb Salad,Rhubarb’s signature tartness is actually brought down by pickling!,recipe,100%
/recipes/food/views/slow-roasted-rhubarb,3,Slow-Roasted Rhubarb,"When you're shopping for rhubarb, try to find redder, thinner stalks; they're the sweetest and most tender.",recipe,100%
/ingredients/rhubarb-sweet-savory-recipes-gallery,,32 Sweet and Savory Rhubarb Recipes,Because rhubarb is so much more than a mere companion to strawberries.,gallery,
/recipes/food/views/rhubarb-custard-cake,3.5,Rhubarb Custard Cake,"This easy cake batter requires no mixer and comes together in minutes. The final result is a rich, custardy cake that plays perfectly off the tart rhubarb topping.",recipe,91%
/recipes/food/views/honey-scones-with-rhubarb-compote,0,Honey Scones with Rhubarb Compote,This is a simple scone with a bit of a makeover: glazed with sticky honey and generously smothered in clotted cream and tart rhubarb compote.,recipe,0%
/recipes/food/views/strawberry-rhubarb-galette-with-buckwheat-crust,4,Fruit Galette with Buckwheat Crust,"Galettes were invented to make amateur bakers feel like pros. The less perfect they are, the cooler they look. No trimming, no tucking, no crimping, no venting, and no soggy bottom. They're also versatile: You can make a version of this year-round with the same amount of peak-season fruit.",recipe,100%
/recipes/food/views/coconut-custard-and-rhubarb-tart,2.5,Coconut Custard and Rhubarb Tart,"Dairy-free, flourless, kosher for Passover, and pretty in pink—this rhubarb-topped tart is just the thing for all of your spring celebrations.",recipe,70%
/holidays-events/refreshing-memorial-day-summer-desserts-gallery,,56 Memorial Day Desserts,"This Memorial Day, don't forget to have a sweet ending.",gallery,
/recipes-menus/what-to-cook-this-weekend-april-26-28-gallery,,What to Cook This Weekend: April 26–28,"Lean into spring with a rhubarb cocktail and recipes that feature asparagus and sugar snap peas, then take some time for a date night in with a decadent pork chop dinner and classic crème brûlée.",gallery,
/recipes-menus/pies-for-the-fourth-of-july-gallery,,57 Star-Spangled Desserts,"Show your American spirit with these red, white, and blue 4th of July sweets.",gallery,
/holidays-events/easter-dessert-recipes-gallery,,89 Easter Dessert Recipes,"From a classic carrot-coconut cake to rhubarb custard tart and ricotta pie with amarena cherries, these are some of our favorite Easter sweets.",gallery,
/recipes/food/views/strawberry-and-watercress-salad,0,Strawberry and Watercress Salad,We paired peppery watercress with bright rhubarb and sweet berries in this go-to spring salad.,recipe,0%
/recipes-menus/cake-recipes-ideas-for-mothers-day-brunch-dessert-gallery,,63 Cakes to Make for Mother's Day,"Chocolate layers, creamy carrot, rose-glazed rhubarb: You've hit the cake motherload.",gallery,
/recipes-menus/what-to-cook-fathers-day-weekend-2018-gallery,,What To Cook This Weekend: June 15–17,"This might shock you, but dads are into more than just steak and whiskey.",gallery,
/recipes-menus/what-to-cook-this-weekend-april-20-22-gallery,,What to Cook This Weekend: April 20–22,"Embrace the changing season with recipes highlighting last-of-winter citrus and first-of-spring asparagus, artichokes, and rhubarb.",gallery,
/expert-advice/5-new-cookbooks-to-cook-from-this-weekend-article,,5 Cookbooks to Cook From This Weekend,"It's almost summer, which means more outdoor cooking, more produce, and more dessert. Here are the buzziest new cookbooks to cook from this season.",article,
/expert-advice/how-to-freeze-strawberries-article,,How to Freeze Strawberries,Don't let the season pass without saving a little sweetness for later. Here's the best way to preserve the flavor of a perfect strawberry.,article,
/recipes/food/views/easy-rhubarb-compote,3,Rhubarb Compote,This compote would be quite fine on toast.,recipe,50%
/recipes/food/views/quick-pickled-rhubarb-salad,4,Quick-Pickled Rhubarb Salad,Rhubarb’s signature tartness is actually brought down by pickling!,recipe,100%
/recipes/food/views/slow-roasted-rhubarb,3,Slow-Roasted Rhubarb,"When you're shopping for rhubarb, try to find redder, thinner stalks; they're the sweetest and most tender.",recipe,100%
